# English confusion sets, mostly homophones
# Original source: After the Deadline's data/rules/homophonedb.txt
# URL: http://openatd.wordpress.com/ or https://openatd.svn.wordpress.org/atd-server/data/rules/homophonedb.txt
# License: GNU Lesser General Public License as published by the Free Software Foundation; either
#          version 2.1 of the License, or (at your option) any later version.
#
# Line format:
# <word1>|<description1>; <word2>|<description2>
#   <word1> and <word2> are words that can easily be confused
#   <description> will be used in the error message to explain the word (optional)
#   <factor> is the factor of how much more the other word must be more
#            probable so the text is considered potentially incorrect.
#            Use a higher value for better precision but lower recall.
#   Precision (p) and recall (r) values in the comments come from ConfusionRuleEvaluator
#     and are based on Wikipedia, Tatoeba, and Enron data, usually with 1000 random 
#     sentences (if that many sentence are available for that pair). The number after recall
#     is the number of sentences used for evaluation.
# Order is relevant for ambiguous cases like 'know' ('no' or 'now') where the match
# is used whose pair comes first in this file.
able; bale
sacred|holy;scared|frightened
sails|used to propel a sailing vessel;sales|the activity of selling
sail|used to propel a sailing vessel;sale|an instance of selling
same|identical; sane|mentally healthy
same; some
sand; stand
sands; stands
saner|more sane, mentally healthier;seiner|boat for seine fishing
sank; sink
sate; state
sat; seat
sat; set
saver|someone who saves;savor|flavor, take pleasure in
savers|someone who saves; savors|flavor, take pleasure in
sawed|cut with a saw;sod|turf
scene|place where some action occurs; seen|past participle of 'see'
scent|perfume;sent|past of 'send'
seamen|men who serve as sailors;semen|ejaculate
sea|ocean; see|to look at
seas|divisions of an ocean;sees|third person singular of 'see'
seat; set
seats; sets
sects|religious sects;sex|sexual activity
sees|third person singular of 'see';seize|take hold of
sense|conscious awareness;since|from a specified time in the past
servers|plural of 'server'; serves|third person of 'serve'
serge|a type of twill fabric;surge|rush, upsurge
serges|a type of twill fabric; surges|rush, upsurge
sever|break up, cut off;severe|extremely bad or unpleasant
shall|a verb;shell|hard outer covering of many animals
shear|cut with shears;sheer|absolute
short; shot
showed|past of 'show';sowed|past of 'sow'
shown|past participle of 'show';sown|past participle of 'sow'
show|present;sow|place seeds in the ground
sic|used to mark an intentionally so written word;sick|ill
sight|ability to see; site|location
sing; using
sign|mark, subscribe, ratify;sine|trigonometric function
sire|noun: title, verb: make by reproduction; sure|certain
slay|murder, remove;sleigh|sled, sledge
slays|murder, remove; sleighs|sled, sledge
slew|batch, heap;slough|necrotic tissue
soared|past of 'soare' (rise upward);sword|weapon
soar|rise upward;sore|hurting, painful
soars|rise upward; sores|open skin infection
sole|solitary, only;soul|the immaterial part of a person
some|a few;sum|amount
son|a male offspring;sun|our solar system's star
sonny|little son;sunny|like the sun
sons|male human offsprings;suns|plural of 'sun'
soot|carbon black;suit|lawsuit, suit of clothes
soots|carbon black; suits|lawsuit, suit of clothes
spoor|trail left by a person;spore|single-celled reproductive body
spoors|trail left by a person;spores|single-celled reproductive body
stair|step;stare|gaze
stairs|step; stares|gaze
stake|interest;steak|slice of meat
stared|past of 'stare' (to look);starred|past of 'star'
staring|gerund of 'stare' (to look);starring|gerund of 'star'
start; stat
starts; stats
stationary|standing still;stationery|letter paper
steal|take without the owner's consent;steel|an alloy of iron
step|footstep;steppe|grassland plains
#storey|level of a building;story|narrative, tale
straight|directly, heterosexual;strait|narrow channel of the sea
subsided|died down;subsidized|supported through subsidies
subside|die down;subsidize|support through subsidies
subsides|die down; subsidizes|support through subsidies
suede|suede leather;swayed|shaken
sue; sure
suite|musical composition or hotel rooms;sweet|candy
tails|the rear ends of animals' bodies;tales|stories
taking; talking
taper|convex shape that narrows toward a point;tapir|animal
tapers|convex shape that narrows toward a point; tapirs|animal
taunt|harass with persistent criticism;taut|tight
teaming|forming a team;teeming|filled with living things
teared|ruptured, snapped;tiered|arranged in tiers/level
tear|rupture, snap;tier|level
tease|annoy persistently;tees|golf tees
teas|plural of 'tea' (beverage);tease|annoy persistently
teeth|plural; tooth|singular
tense|grammatical category;tents|portable shelters
tern|seabird;terne|alloy coating
than; that
than|used in comparisons; then|next in order
their|as in 'It’s not their fault.'; there|as in 'Is there an answer?'
them; then
theses|plural; thesis|singular
the; they
the; to
thing|noun; think|usually a verb
